code,name,lat,lon,demand_factor
OCA,"Ocean Reef Club Airport (Key Largo, US)",25.325399,-80.274803,1.0
WKK,"Aleknagik / New Airport (Aleknagik, US)",59.2826004028,-158.617996216,1.0
BBQ,"Burton-Nibbs International Airport (Codrington, AG)",17.621194,-61.798347,1.0
HIR,"Honiara International Airport (Honiara, SB)",-9.428,160.054993,1.3
MUA,"Munda Airport (Munda, SB)",-8.32797,157.263,1.0
INU,"Nauru International Airport (Yaren, NR)",-0.547893,166.919525,1.0
WFR,"[Duplicate] Wolf's Fang Runway (Queen Maud Island, AQ)",-71.5264,8.799459,1.0
AXF,"Alxa Left Banner Bayanhot Airport (Bayanhot, CN)",38.748317,105.58416,1.0
VMU,"Baimuru Airport (Baimuru, PG)",-7.496955,144.821756,1.0
BUA,"Buka Airport (Buka Island, PG)",-5.422299,154.672698,1.0
OPU,"Balimo Airport (Balimo, PG)",-8.05000019073,142.932998657,1.0
CMU,"Chimbu Airport (Kundiawa, PG)",-6.024290084838867,144.9709930419922,1.0
DAU,"Daru Airport (Daru, PG)",-9.08676,143.207993,1.0
GKA,"Goroka Airport (Goronka, PG)",-6.081689834590001,145.391998291,1.0
GUR,"Gurney Airport (Gurney, PG)",-10.3114995956,150.333999634,1.0
PNP,"Girua Airport (Popondetta, PG)",-8.80453968048,148.309005737,1.0
HKN,"Hoskins Airport (Kimbe, PG)",-5.463846,150.407327,1.0
KMA,"Kerema Airport (Kerema, PG)",-7.96361017227,145.770996094,1.0
KVG,"Kavieng Airport (Kavieng, PG)",-2.57940006256,150.807998657,1.0
MAG,"Madang Airport (Madang, PG)",-5.20707988739,145.789001465,1.0
HGU,"Mount Hagen Kagamuga Airport (Mount Hagen, PG)",-5.828212,144.299412,1.0
MDU,"Mendi Airport (Mendi, PG)",-6.14774,143.656998,1.0
MAS,"Momote Airport (Manus Island, PG)",-2.06189,147.423996,1.0
LAE,"Nadzab Tomodachi International Airport (Lae, PG)",-6.567995,146.726544,1.3
POM,"Port Moresby Jacksons International Airport (Port Moresby, PG)",-9.443380355834961,147.22000122070312,1.3
RAB,"Tokua Airport (Kokopo, PG)",-4.34046,152.380005,1.0
VAI,"Vanimo Airport (Vanimo, PG)",-2.6926,141.3028,1.0
WBM,"Wapenamanda Airport (Wapenamanda, PG)",-5.635293,143.892231,1.0
WWK,"Wewak International Airport (Wewak, PG)",-3.58383011818,143.669006348,1.0
ZXT,"Zabrat Airport (Zabrat, AZ)",40.494884,49.977065,1.0
BCW,"Benguera Island Airport (Benguera Island, MZ)",-21.8533,35.438301,1.0
JAM,"Bezmer Air Base (Bezmer, BG)",42.454899,26.3522,1.0
JEG,"Aasiaat Airport (Aasiaat, GL)",68.721802,-52.784698,1.0
CNP,"Neerlerit Inaat Airport (Neerlerit Inaat, GL)",70.743103,-22.650499,1.0
GOH,"Nuuk International Airport (Nuuk, GL)",64.191066,-51.67914,1.3
JAV,"Ilulissat Airport (Ilulissat, GL)",69.243202,-51.057098,1.0
KUS,"Kulusuk Airport (Kulusuk, GL)",65.573601,-37.1236,1.0
NAQ,"Qaanaaq Airport (Qaanaaq, GL)",77.488602,-69.388702,1.0
SFJ,"Kangerlussuaq International Airport (Kangerlussuaq, GL)",67.010446,-50.715294,1.0
JHS,"Sisimiut Airport (Sisimiut, GL)",66.951302,-53.729301,1.0
THU,"Pituffik Space Base (Pituffik, GL)",76.53063,-68.700541,1.0
AEY,"Akureyri International Airport (Akureyri, IS)",65.656573,-18.072018,1.3
BIU,"Bildudalur Airport (Bildudalur, IS)",65.641296,-23.5462,1.0
EGS,"Egilsstaðir Airport (Egilsstaðir, IS)",65.2833023071289,-14.401399612426758,1.0
GRY,"Grímsey Airport (Grímsey/Sandvík, IS)",66.5458,-18.0173,1.0
HFN,"Hornafjörður Airport (Höfn, IS)",64.295601,-15.2272,1.0
HZK,"Húsavík Airport (Húsavík, IS)",65.952301,-17.426001,1.0
IFJ,"Ísafjörður Airport (Ísafjörður, IS)",66.058098,-23.1353,1.0
KEF,"Keflavik International Airport (Reykjavík, IS)",63.985001,-22.6056,1.3
RKV,"Reykjavík Domestic Airport (Reykjavík, IS)",64.128732,-21.93759,1.0
MVA,"Mývatn Airport (Myvatn, IS)",65.6558,-16.9181,1.0
SIJ,"Siglufjörður Airport (Siglufjörður, IS)",66.137847,-18.908157,1.0
VEY,"Vestmannaeyjar Airport (Vestmannaeyjar, IS)",63.42430114746094,-20.278900146484375,1.0
VPN,"Vopnafjörður Airport (Vopnafjörður, IS)",65.720596,-14.8506,1.0
PRN,"Priština Adem Jashari International Airport (Prishtina, XK)",42.5728,21.035801,1.3
VDC,"Glauber de Andrade Rocha Airport (Vitória da Conquista, BR)",-14.907885,-40.914804,1.0
BTZ,"Betong International Airport (Betong, TH)",5.79,101.15,1.0
TXC,"Orsha Airport - Balbasovo Air Base (Orsha, BY)",54.439999,30.2967,1.0
CUK,"Caye Caulker Airport (Caye Caulker, BZ)",17.735015,-88.032862,1.0
CYC,"Caye Chapel Airport (Caye Chapel, BZ)",17.683792,-88.044985,1.0
CZH,"Corozal Airport (Corozal, BZ)",18.3822,-88.411903,1.0
DGA,"Dangriga Airport (Dangriga, BZ)",16.98251,-88.230988,1.0
SJX,"Sartaneja Airport (Sartaneja, BZ)",18.3561,-88.130798,1.0
SPR,"John Greif II Airport (San Pedro, BZ)",17.9139,-87.9711,1.0
TZA,"Sir Barry Bowen Municipal Airport (Belize City, BZ)",17.517239,-88.195775,1.0
BZB,"Bazaruto Island Airport (Bazaruto Island, MZ)",-21.5411,35.4729,1.0
YAA,"Anahim Lake Airport (Anahim Lake, CA)",52.451501,-125.303776,1.0
XQU,"Qualicum Beach Airport (Qualicum Beach, CA)",49.337456,-124.393086,1.0
YZA,"Cache Creek-Ashcroft Regional Airport (Cache Creek, CA)",50.775258,-121.321314,1.0
ZEL,"Bella Bella (Campbell Island) Airport (Bella Bella, CA)",52.185001,-128.156994,1.0
BZX,"Bazhong Enyang Airport (Bazhong, CN)",31.73842,106.644872,1.0
HSC,"Shaoguan Danxia Airport (Shaoguan, CN)",24.9786,113.420998,1.0
JGS,"Jinggangshan Airport (Ji'an, CN)",26.856899,114.737,1.0
HNG,"Hainanzhou Gonghe Airport (Hainan (Gonghe), CN)",36.3367,100.480003,1.0
JNH,"Jiaxing Nanhu Airport (Xiuzhou, Hangzhou, CN)",30.698056,120.663056,1.0
WHN,"Wuhan Hannan Municipal Airport (Wuhan (Hannan), CN)",30.25521,114.062805,1.0
DDR,"Shigatse Tingri Airport (Xigazê (Dingri), CN)",28.604567,86.798,1.0
HQL,"Tashikuergan Hongqilafu Airport (Tashikuergan, CN)",37.661333,75.288877,1.0
JDE,"Jiande Qiandaohu General Airport (Hangzhou, CN)",29.360905,119.180829,1.0
APJ,"Ali Pulan Airport (Burang Town, CN)",30.397898,81.13317,1.0
ZAT,"Zhaotong Zhaoyang Airport （Not fully opened) (Zhaotong, CN)",27.205843,103.691511,1.0
BFY,"Bengbu Tenghu Airport (Bengbu, CN)",33.166292,117.058344,1.0
YAG,"Fort Frances Municipal Airport (Fort Frances, CA)",48.655749,-93.44349,1.0
YAH,"La Grande-4 Airport (La Grande-4, CA)",53.754699707,-73.6753005981,1.0
YAM,"Sault Ste Marie Airport (Sault Ste Marie, CA)",46.483216,-84.508467,1.0
XKS,"Kasabonika Airport (Kasabonika, CA)",53.52470016479492,-88.6427993774414,1.0
YAY,"St. Anthony Airport (St. Anthony, CA)",51.391909,-56.08321,1.0
YAZ,"Tofino / Long Beach Airport (Tofino, CA)",49.079833,-125.775583,1.0
YBC,"Baie-Comeau Airport (Baie-Comeau, CA)",49.1325,-68.204399,1.0
QBC,"Bella Coola Airport (Bella Coola, CA)",52.387501,-126.596001,1.0
YBY,"Bonnyville Airport (Bonnyville, CA)",54.304199,-110.744003,1.0
YBG,"Saguenay-Bagotville Airport (Saguenay, CA)",48.330123,-70.992012,1.0
YBK,"Baker Lake Airport (Baker Lake, CA)",64.29889678960001,-96.077796936,1.0
YBL,"Campbell River Airport (Campbell River, CA)",49.950802,-125.271004,1.0
YBR,"Brandon Municipal Airport (Brandon, CA)",49.91,-99.951897,1.0
YBX,"Lourdes-de-Blanc-Sablon Airport (Blanc-Sablon, CA)",51.4436,-57.185299,1.0
YCB,"Cambridge Bay Airport (Cambridge Bay, CA)",69.1081008911,-105.138000488,1.0
YCC,"Cornwall Regional Airport (Cornwall, CA)",45.092637,-74.567724,1.0
YCD,"Nanaimo Airport (Nanaimo, CA)",49.05497,-123.869863,1.0
YCE,"Centralia / James T. Field Memorial Aerodrome (Huron Park, CA)",43.285599,-81.508301,1.0
YCG,"Castlegar/West Kootenay Regional Airport (Castlegar, CA)",49.296398,-117.632004,1.0
YCH,"Miramichi Airport (Miramichi, CA)",47.007801,-65.449203,1.0
YCL,"Charlo Airport (Charlo, CA)",47.990799,-66.330299,1.0
YCN,"Cochrane Airport (Cochrane, CA)",49.10559844970703,-81.01360321044922,1.0
YCQ,"Chetwynd Airport (Chetwynd, CA)",55.687198638916016,-121.62699890136719,1.0
YDA,"Dawson City Airport (Dawson City, CA)",64.04309844970703,-139.1280059814453,1.0
YDB,"Burwash Airport (Burwash Landing, CA)",61.371101,-139.041,1.0
YDF,"Deer Lake Airport (Deer Lake, CA)",49.208159,-57.396147,1.0
XRR,"Ross River Airport (Ross River, CA)",61.9706001282,-132.42300415,1.0
YDN,"Dauphin Barker Airport (Dauphin, CA)",51.1008,-100.052002,1.0
YDO,"Dolbeau-Saint-Felicien Airport (Dolbeau-Saint-Felicien, CA)",48.7785,-72.375,1.0
YDQ,"Dawson Creek Airport (Dawson Creek, CA)",55.741245,-120.183263,1.0
YEG,"Edmonton International Airport (Edmonton, CA)",53.3097,-113.580002,1.3
YEL,"Elliot Lake Municipal Airport (Elliot Lake, CA)",46.351398468,-82.5614013672,1.0
YEM,"Manitoulin East Municipal Airport (Sheguiandah, CA)",45.842435,-81.857595,1.0
YEN,"Estevan Airport (Estevan, CA)",49.2103004456,-102.966003418,1.0
YET,"Edson Airport (Edson, CA)",53.578899383499994,-116.464996338,1.0
YEV,"Inuvik Mike Zubko Airport (Inuvik, CA)",68.30419921880001,-133.483001709,1.0
YEY,"Amos/Magny Airport (Amos, CA)",48.563903,-78.249702,1.0
YFB,"Iqaluit Airport (Iqaluit, CA)",63.756402,-68.555801,1.0
YFC,"Fredericton International Airport (Fredericton, CA)",45.868697,-66.529891,1.0
YFE,"Forestville Airport (Forestville, CA)",48.74610137939453,-69.09719848632812,1.0
YTM,"Mont-Tremblant International Airport (La Macaza, CA)",46.409401,-74.779999,1.0
YFR,"Fort Resolution Airport (Fort Resolution, CA)",61.1808013916,-113.690002441,1.0
YFS,"Fort Simpson Airport (Fort Simpson, CA)",61.76020050048828,-121.23699951171875,1.0
YGK,"Kingston Norman Rogers Airport (Kingston, CA)",44.2253,-76.596901,1.0
YGL,"La Grande Rivière Airport (La Grande Rivière, CA)",53.625301361083984,-77.7042007446289,1.0
YGM,"Gimli Industrial Park Airport (Gimli, CA)",50.62810134887695,-97.04329681396484,1.0
YGP,"Michel-Pouliot Gaspé Airport (Gaspé, CA)",48.774915,-64.481893,1.0
YGQ,"Geraldton Greenstone Regional Airport (Geraldton, CA)",49.77830123901367,-86.93939971923828,1.0
YGR,"Îles-de-la-Madeleine Airport (Les Îles-de-la-Madeleine, CA)",47.425242,-61.778612,1.0
YGV,"Havre-Saint-Pierre Airport (Havre-Saint-Pierre, CA)",50.281898,-63.611401,1.0
YGW,"Kuujjuarapik Airport (Kuujjuarapik, CA)",55.281898498535156,-77.76529693603516,1.0
YHD,"Dryden Regional Airport (Dryden, CA)",49.831699,-92.744202,1.0
YHF,"Hearst René Fontaine Municipal Airport (Hearst, CA)",49.71419906616211,-83.68609619140625,1.0
YHM,"John C. Munro Hamilton International Airport (Hamilton, CA)",43.17348,-79.931185,1.0
YHN,"Hornepayne Municipal Airport (Hornepayne, CA)",49.19309997558594,-84.75890350341797,1.0
YHT,"Haines Junction Airport (Haines Junction, CA)",60.7892,-137.546005,1.0
YHU,"Montréal / Saint-Hubert Metropolitan Airport (Montréal, CA)",45.517502,-73.416901,1.0
YHY,"Hay River / Merlyn Carter Airport (Hay River, CA)",60.8396987915,-115.782997131,1.0
YHZ,"Halifax / Stanfield International Airport (Halifax, CA)",44.8807983398,-63.5085983276,1.3
YIB,"Atikokan Municipal Airport (Atikokan, CA)",48.773899,-91.638603,1.0
YDG,"Digby / Annapolis Regional Airport (Digby, CA)",44.5458450365,-65.7854247093,1.0
YIF,"St Augustin Airport (St-Augustin, CA)",51.2117,-58.658298,1.0
YIV,"Island Lake Airport (Island Lake, CA)",53.857200622558594,-94.65360260009766,1.0
YJF,"Fort Liard Airport (Fort Liard, CA)",60.235801696799996,-123.46900177,1.0
YJN,"St Jean Airport (St Jean, CA)",45.29439926147461,-73.28109741210938,1.0
YJT,"Stephenville Dymond International Airport (Stephenville, CA)",48.54339,-58.552892,1.0
YKA,"Kamloops John Moose Fulton Field Regional Airport (Kamloops, CA)",50.703038,-120.448641,1.0
YKF,"Region of Waterloo International Airport (Breslau, CA)",43.4608,-80.378601,1.0
YKJ,"Key Lake Airport (Key Lake, CA)",57.256099700927734,-105.61799621582031,1.0
YKL,"Schefferville Airport (Schefferville, CA)",54.805301666259766,-66.8052978515625,1.0
YKD,"Kincardine Municipal Airport (Kincardine, CA)",44.201401,-81.606697,1.0
YKX,"Kirkland Lake Airport (Kirkland Lake, CA)",48.21030044555664,-79.98139953613281,1.0
YKY,"Kindersley Airport (Kindersley, CA)",51.5175018311,-109.180999756,1.0
YLD,"Chapleau Airport (Chapleau, CA)",47.81999969482422,-83.3467025756836,1.0
YLJ,"Meadow Lake Airport (Meadow Lake, CA)",54.125301361083984,-108.52300262451172,1.0
YLL,"Lloydminster Airport (Lloydminster, CA)",53.3092,-110.072998,1.0
YLR,"Leaf Rapids Airport (Leaf Rapids, CA)",56.513301849365234,-99.98529815673828,1.0
YLK,"Barrie-Lake Simcoe Regional Airport (Barrie, CA)",44.485056,-79.554663,1.0
YLT,"Alert Airport (Alert, CA)",82.517263,-62.283037,1.0
YLW,"Kelowna International Airport (Kelowna, CA)",49.9561,-119.377998,1.3
YMA,"Mayo Airport (Mayo, CA)",63.61640167236328,-135.8679962158203,1.0
YME,"Matane Airport (Matane, CA)",48.85689926147461,-67.45330047607422,1.0
YMG,"Manitouwadge Airport (Manitouwadge, CA)",49.083900451660156,-85.86060333251953,1.0
YMJ,"Moose Jaw Air Vice Marshal C. M. McEwen Airport (Moose Jaw, CA)",50.330299377441406,-105.55899810791016,1.0
YML,"Charlevoix Airport (Charlevoix, CA)",47.59749984741211,-70.2238998413086,1.0
YMM,"Fort McMurray International Airport (Fort McMurray, CA)",56.653301,-111.222,1.0
YMO,"Moosonee Airport (Moosonee, CA)",51.291099548339844,-80.60780334472656,1.0
YMT,"Chapais Airport (Chibougamau, CA)",49.77190017700195,-74.5280990600586,1.0
YMX,"Montreal Mirabel International Airport (Montréal, CA)",45.679501,-74.038696,1.0
YNA,"Natashquan Airport (Natashquan, CA)",50.190114,-61.78898,1.0
YND,"Ottawa / Gatineau Airport (Gatineau, CA)",45.521702,-75.563599,1.0
YLY,"Langley Airport (Langley, CA)",49.1008,-122.630997,1.0
YNL,"Points North Landing Airport (Points North Landing, CA)",58.27669906616211,-104.08200073242188,1.0
YNM,"Matagami Airport (Matagami, CA)",49.76169967651367,-77.80280303955078,1.0
YOA,"Ekati Airport (Ekati, CA)",64.6988983154,-110.614997864,1.0
YOD,"CFB Cold Lake (Cold Lake, CA)",54.404998779296875,-110.27899932861328,1.0
YOJ,"High Level Airport (High Level, CA)",58.62139892578125,-117.16500091552734,1.0
YOO,"Oshawa Executive Airport (Oshawa, CA)",43.922798,-78.894997,1.0
YOP,"Rainbow Lake Airport (Rainbow Lake, CA)",58.491402,-119.407997,1.0
YOS,"Owen Sound / Billy Bishop Regional Airport (Owen Sound, CA)",44.5903015137,-80.8375015259,1.0
YOW,"Ottawa Macdonald-Cartier International Airport (Ottawa, CA)",45.322498,-75.669197,1.3
YPA,"Prince Albert Glass Field (Prince Albert, CA)",53.214199066199996,-105.672996521,1.0
YPS,"Port Hawkesbury Airport (Port Hawkesbury, CA)",45.6567001343,-61.3680992126,1.0
YPE,"Peace River Airport (Peace River, CA)",56.226898,-117.446999,1.0
YPG,"Portage-la-Prairie / Southport Airport (Portage la Prairie, CA)",49.903099,-98.273817,1.0
YPL,"Pickle Lake Airport (Pickle Lake, CA)",51.4463996887207,-90.21420288085938,1.0
YPN,"Port-Menier Airport (Port-Menier, CA)",49.836399,-64.288597,1.0
YPQ,"Peterborough Regional Airport (Peterborough, CA)",44.232251,-78.362053,1.0
YPR,"Prince Rupert Airport (Prince Rupert, CA)",54.286098480199996,-130.445007324,1.0
YPW,"Powell River Airport (Powell River, CA)",49.83420181274414,-124.5,1.0
YPX,"Puvirnituq Airport (Puvirnituq, CA)",60.050598,-77.286903,1.0
YPY,"Fort Chipewyan Airport (Fort Chipewyan, CA)",58.7672004699707,-111.11699676513672,1.0
YPZ,"Burns Lake Airport (Burns Lake, CA)",54.3764,-125.950996,1.0
YQA,"Muskoka Airport (Gravenhurst, CA)",44.975376,-79.306546,1.0
YQB,"Quebec Jean Lesage International Airport (Quebec, CA)",46.7911,-71.393303,1.3
YQD,"The Pas Airport (The Pas, CA)",53.97140121459961,-101.09100341796875,1.0
YQF,"Red Deer Regional Airport (Springbrook, CA)",52.182201,-113.893997,1.0
YQG,"Windsor International Airport (Windsor, CA)",42.2756,-82.955597,1.0
YQH,"Watson Lake Airport (Watson Lake, CA)",60.116839,-128.821993,1.0
YQI,"Yarmouth Airport (Yarmouth, CA)",43.826900482177734,-66.08809661865234,1.0
YQK,"Kenora Airport (Kenora, CA)",49.788299560546875,-94.36309814453125,1.0
YQL,"Lethbridge County Airport (Lethbridge, CA)",49.6302986145,-112.800003052,1.0
YQM,"Greater Moncton Roméo LeBlanc International Airport (Moncton, CA)",46.113189,-64.67719,1.0
YQN,"Nakina Airport (Nakina, CA)",50.18280029296875,-86.69640350341797,1.0
YQQ,"Comox Valley International Airport / CFB Comox (Comox, CA)",49.7108,-124.887001,1.0
YQR,"Regina International Airport (Regina, CA)",50.431938,-104.660906,1.0
YQS,"St Thomas Municipal Airport (St Thomas, CA)",42.77000045776367,-81.11080169677734,1.0
YQT,"Thunder Bay International Airport (Thunder Bay, CA)",48.371899,-89.323898,1.0
YQU,"Grande Prairie Airport (Grande Prairie, CA)",55.1796989441,-118.885002136,1.0
YQV,"Yorkton Municipal Airport (Yorkton, CA)",51.264702,-102.461998,1.0
YQW,"North Battleford Airport (North Battleford, CA)",52.769409,-108.243742,1.0
YQX,"Gander International Airport (Gander, CA)",48.936258,-54.567719,1.0
YQY,"Sydney / J.A. Douglas McCurdy Airport (Sydney, CA)",46.161072,-60.049759,1.0
YQZ,"Quesnel Airport (Quesnel, CA)",53.026100158691406,-122.51000213623047,1.0
YRB,"Resolute Bay Airport (Resolute Bay, CA)",74.7169036865,-94.9693984985,1.0
YRI,"Rivière-du-Loup Airport (Rivière-du-Loup, CA)",47.764400482177734,-69.58470153808594,1.0
YRJ,"Roberval Airport (Roberval, CA)",48.519665,-72.265735,1.0
YRL,"Red Lake Airport (Red Lake, CA)",51.066898345947266,-93.79309844970703,1.0
YRO,"Ottawa / Rockcliffe Airport (Ottawa, CA)",45.460496,-75.644001,1.0
YRQ,"Trois-Rivières Airport (Trois-Rivières, CA)",46.35279846191406,-72.67939758300781,1.0
YRT,"Rankin Inlet Airport (Rankin Inlet, CA)",62.8114013672,-92.1157989502,1.0
YRV,"Revelstoke Airport (Revelstoke, CA)",50.962245,-118.184258,1.0
YSB,"Sudbury Airport (Sudbury, CA)",46.625,-80.79889678955078,1.0
YSC,"Sherbrooke Airport (Sherbrooke, CA)",45.438599,-71.691399,1.0
YSF,"Stony Rapids Airport (Stony Rapids, CA)",59.250301361083984,-105.84100341796875,1.0
YSH,"Smiths Falls-Montague (Russ Beach) Airport (Smiths Falls, CA)",44.945801,-75.940598,1.0
YSJ,"Saint John Airport (Saint John, CA)",45.31610107421875,-65.89029693603516,1.0
YSL,"Saint-Léonard Airport (Saint-Léonard, CA)",47.157097,-67.836242,1.0
YSM,"Fort Smith Airport (Fort Smith, CA)",60.020302,-111.961998,1.0
YCM,"Niagara District Airport (Niagara-on-the-Lake, CA)",43.191598,-79.171686,1.0
YSP,"Marathon Airport (Marathon, CA)",48.75529861450195,-86.34439849853516,1.0
YSU,"Summerside Airport (Slemon Park, CA)",46.440601,-63.833599,1.0
YTA,"Pembroke Airport (Pembroke, CA)",45.86439895629883,-77.25170135498047,1.0
YTF,"Alma Airport (Alma, CA)",48.5089,-71.641899,1.0
YTH,"Thompson Airport (Thompson, CA)",55.80110168457031,-97.86419677734375,1.0
YTR,"CFB Trenton (Trenton, CA)",44.118900299072266,-77.5280990600586,1.0
YTS,"Timmins/Victor M. Power (Timmins, CA)",48.569698333699996,-81.376701355,1.0
YTZ,"Billy Bishop Toronto City Airport (Toronto, CA)",43.627852,-79.39553,1.0
YUL,"Montreal / Pierre Elliott Trudeau International Airport (Montréal, CA)",45.467837,-73.742294,1.3
YUX,"Hall Beach Airport (Sanirajak, CA)",68.7761,-81.2425,1.0
YUY,"Rouyn Noranda Airport (Rouyn-Noranda, CA)",48.20610046386719,-78.83560180664062,1.0
YVB,"Bonaventure Airport (Bonaventure, CA)",48.071098,-65.460297,1.0
YVC,"La Ronge Airport (La Ronge, CA)",55.151401519800004,-105.262001038,1.0
YVE,"Vernon Regional Airport (Vernon, CA)",50.246163,-119.330963,1.0
YVO,"Val-d'Or Airport (Val-d'Or, CA)",48.0532989502,-77.7827987671,1.0
YVP,"Kuujjuaq Airport (Kuujjuaq, CA)",58.096099853515625,-68.4269027709961,1.0
YVQ,"Norman Wells Airport (Norman Wells, CA)",65.28160095214844,-126.7979965209961,1.0
YVR,"Vancouver International Airport (Vancouver, CA)",49.193901,-123.183998,1.3
YVV,"Wiarton Airport (Wiarton, CA)",44.7458,-81.107201,1.0
YWG,"Winnipeg / James Armstrong Richardson International Airport (Winnipeg, CA)",49.909999847399995,-97.2398986816,1.3
YWK,"Wabush Airport (Wabush, CA)",52.92190170288086,-66.8644027709961,1.0
YWL,"Williams Lake Airport (Williams Lake, CA)",52.1831016541,-122.054000854,1.0
YWY,"Wrigley Airport (Wrigley, CA)",63.20940017700195,-123.43699645996094,1.0
YXC,"Cranbrook/Canadian Rockies International Airport (Cranbrook, CA)",49.610802,-115.781998,1.0
YXE,"Saskatoon John G. Diefenbaker International Airport (Saskatoon, CA)",52.170723,-106.700793,1.3
YXH,"Medicine Hat Regional Airport (Medicine Hat, CA)",50.018902,-110.721001,1.0
YXJ,"Fort St John / North Peace Regional Airport (Fort Saint John, CA)",56.238098,-120.739998,1.0
YXK,"Rimouski Airport (Rimouski, CA)",48.477644,-68.496323,1.0
YXL,"Sioux Lookout Airport (Sioux Lookout, CA)",50.11389923095703,-91.9052963256836,1.0
YXQ,"Beaver Creek Airport (Beaver Creek, CA)",62.410301208496094,-140.86700439453125,1.0
YXR,"Earlton (Timiskaming Regional) Airport (Earlton, CA)",47.697400654599996,-79.8473453522,1.0
YXS,"Prince George (International) Airport (Prince George, CA)",53.884311,-122.666554,1.0
YXT,"Northwest Regional Airport Terrace-Kitimat (Terrace, CA)",54.468498,-128.576009,1.0
YXU,"London International Airport (London, CA)",43.032845,-81.149003,1.0
YXX,"Abbotsford International Airport (Abbotsford, CA)",49.025299,-122.361,1.0
YXY,"Whitehorse / Erik Nielsen International Airport (Whitehorse, CA)",60.708533,-135.065705,1.0
YXZ,"Wawa Airport (Wawa, CA)",47.96670150756836,-84.78669738769531,1.0
YYB,"North Bay Jack Garland Airport (North Bay, CA)",46.363602,-79.422798,1.0
YYC,"Calgary International Airport (Calgary, CA)",51.118822,-114.009933,1.3
YYD,"Smithers Airport (Smithers, CA)",54.82469940185547,-127.18299865722656,1.0
YYE,"Fort Nelson Airport (Fort Nelson, CA)",58.8363990784,-122.597000122,1.0
YYF,"Penticton Airport (Penticton, CA)",49.46310043334961,-119.60199737548828,1.0
YYG,"Charlottetown Airport (Charlottetown, CA)",46.288911,-63.125174,1.0
YYJ,"Victoria International Airport (Victoria, CA)",48.647201,-123.427792,1.3
YYL,"Lynn Lake Airport (Lynn Lake, CA)",56.86389923095703,-101.07599639892578,1.0
YYN,"Swift Current Airport (Swift Current, CA)",50.291900634799994,-107.691001892,1.0
YYQ,"Churchill Airport (Churchill, CA)",58.739200592041016,-94.06500244140625,1.0
YYR,"Goose Bay Airport (Goose Bay, CA)",53.3191986084,-60.4258003235,1.0
